Ag,Al,Au,B,Be,C,Ca,Ce,Co,Cr,Cu,Dy,Er,Fe,Gd,Ge,Hf,Ho,In,La,Li,Lu,Mg,Mn,Mo,Nb,Nd,Ni,P,Pb,Pd,Pr,Pt,Sc,Si,Sm,Sn,Sr,Ta,Tb,Ti,Tm,V,Y,Yb,Zn,Zr,AR,RS,Va,delta,EN,G,calculate G,K,calculate K,KG,KK
0,0,0,6,0,8,0,0,0,2,0,0,0,65,0,0,0,0,0,0,0,0,0,0,9,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127.55,0.022746271,9.538477435,0.188935345,0.0625,66.8,NA,174,62.3344814,0.991878323,0.009048672
0,0,0,3,0,10,0,0,0,3,0,0,0,66,0,0,0,0,0,0,0,0,0,0,10,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128.65,0.023146216,9.76384482,0.187590632,0.065,66.5,NA,172,67.10771714,0.991006966,0.008747974
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,60,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,139,0.000615569,11.29161704,0.035244457,-0.096,66.3,50.29411765,267,159.8918919,0.954187673,0.006926836
0,0,0,2,0,10,0,0,0,0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,10,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127.6,0.023420026,9.560850811,0.190559774,0.0824,66.1,NA,176,54.58804467,0.982327101,0.00904524
0,0,0,3,0,10,0,0,0,3,0,0,0,64,0,0,0,0,0,0,0,0,0,0,10,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127.85,0.023637824,9.617739818,0.190891521,0.0722,66,NA,174,60.23388597,0.987937617,0.008952969
0,0,0,2,0,10,0,0,0,3,0,0,0,63,0,0,0,0,0,0,0,0,0,0,10,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127.6,0.023420026,9.560850811,0.190559774,0.0773,65.3,NA,178,54.5551984,0.985200053,0.009038169
0,0,0,5,0,7,0,0,0,3,0,0,0,63,0,0,0,0,0,0,0,0,0,0,12,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128.95,0.020688436,9.76654659,0.179397094,0.0614,65.2,NA,174,63.35733283,0.991486235,0.008739717
0,0,0,23,0,0,0,0,0,0,0,0,0,35.5,0,0,0,0,0,0,0,0,0,0,0,6,0,35.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125.875,0.019219931,9.096876846,0.178812192,-0.0071,64.9,NA,203.8,194.8501612,0.996420558,0.009591085
0,0,0,0,0,9,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129.3,0.019888055,9.785307134,0.173369952,0.0344,61,NA,148,57.36196319,0.998908603,0.008680151
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.2,0,60,0,0,0,0,0,0,0,0,6,0,6.8,0,0,0,0,0,0,0,0,139,0.000615569,11.29161704,0.035244457,-0.0992,59.4,51.62230272,189,158.5334743,0.951280039,0.006924006
0,0,0,2.5,0,5,0,0,0,2,0,0,0,68,0,0,0,0,0,0,0,0,0,0,5,0,0,5,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130.125,0.016108088,9.859378034,0.158542189,0.03335,57.9,NA,149.7,56.89226472,0.998460177,0.008583839
0,0,0,2.5,0,5,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,5,0,0,5,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130.125,0.016108088,9.859378034,0.158542189,0.03675,57.3,NA,150.1,56.91607417,0.997794759,0.008588159
0,0,0,2.5,0,5,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,5,0,0,5,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130.125,0.016108088,9.859378034,0.158542189,0.03675,57.3,NA,150.1,56.91607417,0.997794759,0.008588159
0,0,0,2.5,0,5,0,0,0,0,0,0,0,74.5,0,0,0,0,0,0,0,0,0,0,5.5,0,0,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130.4,0.016225372,9.925160367,0.158992201,0.0344,56.9,NA,145,56.88801103,0.998289422,0.008502282
0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,28,0,56,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,139.9,0.001019618,11.54253604,0.045763712,-0.124,52.9,48.58782747,173.8,153.5113033,0.925984825,0.006687285
0,15,0,0,23.375,0,0,0,0,0,6.375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.5,0,0,0,0,0,0,0,0,0,0,0,0,7.0125,0,0,0,0,0,39.7375,138.291875,0.015517953,12.10688788,0.17498872,-0.36592625,48.4,21.24363661,116.9,92.20176424,0.595713461,0.006067835
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140,0.000638162,11.53802262,0.035714286,-0.145,48.1,50.66666667,,174.8571429,0.902580431,0.006673564
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,59,0,0,0,0,0,0,3,0,2,0,0,0,11,0,0,0,0,0,19,144.9,0.0073552,13.39352054,0.126783305,-0.15,47.5,NA,159.2,111.2003558,0.888405453,0.005382699
0,10,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,16.5,0,0,0,0,0,28.5,148.775,0.009094943,14.64200255,0.139927043,-0.23365,45.2,12.86737755,140.2,91.14939204,0.774695568,0.004695886
0,10,0,0,24.75,0,0,0,0,0,6.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,7.425,0,0,0,0,0,42.075,139.07375,0.016124375,12.33780888,0.177453742,-0.3703925,44.5,21.01746758,113.8,93.37266352,0.589870791,0.005905029
0,12,0,0,24.2,0,0,0,0,0,6.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.8,0,0,0,0,0,0,0,0,0,0,0,0,7.26,0,0,0,0,0,41.14,138.761,0.015885619,12.24544048,0.176500779,-0.368606,44.1,21.10735483,112.6,92.90075314,0.59219633,0.005969258
0,10,0,0,27.5,0,0,0,0,0,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,25,147.25,0.026602243,15.44346735,0.226761833,-0.34625,43.7,8.182596145,101.7,72.5450309,0.605744686,0.004305584
0,13,0,0,0,0,0,0,0,0,29.25,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,9.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143.3,0.003358329,12.57019289,0.08141395,-0.324725,43.1,35.24024807,130.3,114.8749894,0.660646067,0.005781052
0,13,0,0,0,0,0,0,0,0,29.25,0,0,0,0,0,46,0,0,0,0,0,0,0,0,2,0,9.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143.1,0.003295508,12.51362327,0.080709007,-0.318725,43.1,35.41541269,128.9,115.7280972,0.668398464,0.005822105
0,9,0,0,0,0,0,0,0,0,49,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142.5,0.002970573,12.33763125,0.077113196,-0.2781,42.7,36.14039152,128.9,117.6139561,0.722396284,0.005968098
0,12,0,0,0,0,0,0,0,0,27.25,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,9.75,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,143.8,0.003261147,12.693647,0.080065858,-0.335825,42.4,35.46281498,127.6,115.9879123,0.646760873,0.005694406
0,0,0,0,28,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,2,0,0,34,142.55,0.020798926,13.62371027,0.201523124,-0.3407,41.7,14.22564072,103.7,88.34658758,0.619256726,0.005148287
0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146.1,0.003368266,13.31114798,0.080344959,-0.4072,41.3,34.5349894,128.8,114.4717624,0.562985055,0.005283187
0,5,0,0,26.125,0,0,0,0,0,7.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.5,0,0,0,0,0,0,0,0,0,0,0,0,7.8375,0,0,0,0,0,44.4125,139.855625,0.016699189,12.56872988,0.179651919,-0.37485875,40.5,20.7960636,115.8,94.57368458,0.584123643,0.005749455
